Date,Search,Interest_MA4,is_fashion_week
2020-01-19,63.0,72.25,False
2020-01-26,58.0,64.75,False
2020-02-02,63.0,63.5,False
2020-02-09,66.0,62.5,False
2020-02-16,67.0,63.5,True
2020-02-23,60.0,64.0,True
2020-03-01,57.0,62.5,False
2020-03-08,48.0,58.0,False
2020-03-15,38.0,50.75,False
2020-03-22,36.0,44.75,False
2020-03-29,39.0,40.25,False
2020-04-05,39.0,38.0,False
2020-04-12,41.0,38.75,False
2020-04-19,40.0,39.75,False
2020-04-26,44.0,41.0,False
2020-05-03,48.0,43.25,False
2020-05-10,50.0,45.5,False
2020-05-17,51.0,48.25,False
2020-05-24,53.0,50.5,False
2020-05-31,54.0,52.0,False
2020-06-07,54.0,53.0,False
2020-06-14,55.0,54.0,False
2020-06-21,59.0,55.5,False
2020-06-28,62.0,57.5,False
2020-07-05,56.0,58.0,False
2020-07-12,57.0,58.5,False
2020-07-19,60.0,58.75,False
2020-07-26,61.0,58.5,False
2020-08-02,60.0,59.5,False
2020-08-09,59.0,60.0,False
2020-08-16,62.0,60.5,False
2020-08-23,60.0,60.25,False
2020-08-30,61.0,60.5,False
2020-09-06,61.0,61.0,False
2020-09-13,62.0,61.0,False
2020-09-20,64.0,62.0,True
2020-09-27,64.0,62.75,True
2020-10-04,65.0,63.75,False
2020-10-11,69.0,65.5,False
2020-10-18,66.0,66.0,False
2020-10-25,66.0,66.5,False
2020-11-01,61.0,65.5,False
2020-11-08,70.0,65.75,False
2020-11-15,74.0,67.75,False
2020-11-22,87.0,73.0,False
2020-11-29,83.0,78.5,False
2020-12-06,90.0,83.5,False
2020-12-13,88.0,87.0,False
2020-12-20,100.0,90.25,False
2020-12-27,88.0,91.5,False
2021-01-03,69.0,86.25,False
2021-01-10,64.0,80.25,False
2021-01-17,64.0,71.25,False
2021-01-24,60.0,64.25,False
2021-01-31,62.0,62.5,False
2021-02-07,61.0,61.75,False
2021-02-14,61.0,61.0,False
2021-02-21,55.0,59.75,True
2021-02-28,56.0,58.25,True
2021-03-07,56.0,57.0,False
2021-03-14,58.0,56.25,False
2021-03-21,59.0,57.25,False
2021-03-28,60.0,58.25,False
2021-04-04,59.0,59.0,False
2021-04-11,55.0,58.25,False
2021-04-18,58.0,58.0,False
2021-04-25,57.0,57.25,False
2021-05-02,59.0,57.25,False
2021-05-09,57.0,57.75,False
2021-05-16,61.0,58.5,False
2021-05-23,57.0,58.5,False
2021-05-30,59.0,58.5,False
2021-06-06,55.0,58.0,False
2021-06-13,56.0,56.75,False
2021-06-20,54.0,56.0,False
2021-06-27,55.0,55.0,False
2021-07-04,55.0,55.0,False
2021-07-11,57.0,55.25,False
2021-07-18,55.0,55.5,False
2021-07-25,56.0,55.75,False
2021-08-01,55.0,55.75,False
2021-08-08,57.0,55.75,False
2021-08-15,59.0,56.75,False
2021-08-22,60.0,57.75,False
2021-08-29,60.0,59.0,False
2021-09-05,61.0,60.0,False
2021-09-12,62.0,60.75,False
2021-09-19,64.0,61.75,True
2021-09-26,65.0,63.0,True
2021-10-03,64.0,63.75,False
2021-10-10,68.0,65.25,False
2021-10-17,69.0,66.5,False
2021-10-24,68.0,67.25,False
2021-10-31,69.0,68.5,False
2021-11-07,77.0,70.75,False
2021-11-14,79.0,73.25,False
2021-11-21,94.0,79.75,False
2021-11-28,92.0,85.5,False
2021-12-05,85.0,87.5,False
2021-12-12,93.0,91.0,False
2021-12-19,100.0,92.5,False
2021-12-26,91.0,92.25,False
2022-01-02,74.0,89.5,False
2022-01-09,65.0,82.5,False
2022-01-16,60.0,72.5,False
2022-01-23,61.0,65.0,False
2022-01-30,63.0,62.25,False
2022-02-06,66.0,62.5,False
2022-02-13,65.0,63.75,False
2022-02-20,59.0,63.25,True
2022-02-27,61.0,62.75,True
2022-03-06,78.0,65.75,False
2022-03-13,66.0,66.0,False
2022-03-20,63.0,67.0,False
2022-03-27,61.0,67.0,False
2022-04-03,59.0,62.25,False
2022-04-10,64.0,61.75,False
2022-04-17,64.0,62.0,False
2022-04-24,65.0,63.0,False
2022-05-01,66.0,64.75,False
2022-05-08,61.0,64.0,False
2022-05-15,57.0,62.25,False
2022-05-22,58.0,60.5,False
2022-05-29,58.0,58.5,False
2022-06-05,60.0,58.25,False
2022-06-12,61.0,59.25,False
