Date,Search,Interest_MA4,is_fashion_week
2020-01-19,54.0,58.75,False
2020-01-26,55.0,55.75,False
2020-02-02,55.0,54.5,False
2020-02-09,57.0,55.25,True
2020-02-16,50.0,54.25,True
2020-02-23,50.0,53.0,False
2020-03-01,53.0,52.5,False
2020-03-08,44.0,49.25,False
2020-03-15,34.0,45.25,False
2020-03-22,36.0,41.75,False
2020-03-29,41.0,38.75,False
2020-04-05,46.0,39.25,False
2020-04-12,48.0,42.75,False
2020-04-19,46.0,45.25,False
2020-04-26,50.0,47.5,False
2020-05-03,51.0,48.75,False
2020-05-10,53.0,50.0,False
2020-05-17,58.0,53.0,False
2020-05-24,59.0,55.25,False
2020-05-31,59.0,57.25,False
2020-06-07,60.0,59.0,False
2020-06-14,56.0,58.5,False
2020-06-21,65.0,60.0,False
2020-06-28,72.0,63.25,False
2020-07-05,57.0,62.5,False
2020-07-12,63.0,64.25,False
2020-07-19,60.0,63.0,False
2020-07-26,62.0,60.5,False
2020-08-02,62.0,61.75,False
2020-08-09,59.0,60.75,False
2020-08-16,55.0,59.5,False
2020-08-23,58.0,58.5,False
2020-08-30,55.0,56.75,False
2020-09-06,55.0,55.75,False
2020-09-13,52.0,55.0,True
2020-09-20,53.0,53.75,True
2020-09-27,56.0,54.0,False
2020-10-04,55.0,54.0,False
2020-10-11,56.0,55.0,False
2020-10-18,53.0,55.0,False
2020-10-25,55.0,54.75,False
2020-11-01,53.0,54.25,False
2020-11-08,61.0,55.5,False
2020-11-15,66.0,58.75,False
2020-11-22,100.0,70.0,False
2020-11-29,83.0,77.5,False
2020-12-06,82.0,82.75,False
2020-12-13,80.0,86.25,False
2020-12-20,81.0,81.5,False
2020-12-27,72.0,78.75,False
2021-01-03,64.0,74.25,False
2021-01-10,57.0,68.5,False
2021-01-17,57.0,62.5,False
2021-01-24,56.0,58.5,False
2021-01-31,55.0,56.25,False
2021-02-07,54.0,55.5,False
2021-02-14,51.0,54.0,True
2021-02-21,48.0,52.0,True
2021-02-28,51.0,51.0,False
2021-03-07,49.0,49.75,False
2021-03-14,47.0,48.75,False
2021-03-21,47.0,48.5,False
2021-03-28,49.0,48.0,False
2021-04-04,50.0,48.25,False
2021-04-11,48.0,48.5,False
2021-04-18,51.0,49.5,False
2021-04-25,49.0,49.5,False
2021-05-02,52.0,50.0,False
2021-05-09,51.0,50.75,False
2021-05-16,53.0,51.25,False
2021-05-23,52.0,52.0,False
2021-05-30,57.0,53.25,False
2021-06-06,52.0,53.5,False
2021-06-13,54.0,53.75,False
2021-06-20,53.0,54.0,False
2021-06-27,54.0,53.25,False
2021-07-04,59.0,55.0,False
2021-07-11,59.0,56.25,False
2021-07-18,56.0,57.0,False
