Date,Search,Interest_MA4,is_fashion_week
2020-01-19,46.0,42.75,False
2020-01-26,39.0,41.75,False
2020-02-02,37.0,40.75,False
2020-02-09,43.0,41.25,False
2020-02-16,48.0,41.75,False
2020-02-23,44.0,43.0,False
2020-03-01,44.0,44.75,True
2020-03-08,37.0,43.25,True
2020-03-15,28.0,38.25,False
2020-03-22,27.0,34.0,False
2020-03-29,26.0,29.5,False
2020-04-05,30.0,27.75,False
2020-04-12,33.0,29.0,False
2020-04-19,33.0,30.5,False
2020-04-26,37.0,33.25,False
2020-05-03,38.0,35.25,False
2020-05-10,44.0,38.0,False
2020-05-17,42.0,40.25,False
2020-05-24,45.0,42.25,False
2020-05-31,45.0,44.0,False
2020-06-07,46.0,44.5,False
2020-06-14,51.0,46.75,False
2020-06-21,54.0,49.0,False
2020-06-28,57.0,52.0,False
2020-07-05,59.0,55.25,False
2020-07-12,60.0,57.5,False
2020-07-19,68.0,61.0,False
2020-07-26,65.0,63.0,False
2020-08-02,59.0,63.0,False
2020-08-09,62.0,63.5,False
2020-08-16,61.0,61.75,False
2020-08-23,59.0,60.25,False
2020-08-30,55.0,59.25,False
2020-09-06,58.0,58.25,False
2020-09-13,56.0,57.0,False
2020-09-20,54.0,55.75,False
2020-09-27,56.0,56.0,False
2020-10-04,52.0,54.5,True
2020-10-11,54.0,54.0,True
2020-10-18,54.0,54.0,False
2020-10-25,49.0,52.25,False
2020-11-01,47.0,51.0,False
2020-11-08,54.0,51.0,False
2020-11-15,53.0,50.75,False
2020-11-22,59.0,53.25,False
2020-11-29,59.0,56.25,False
2020-12-06,63.0,58.5,False
2020-12-13,64.0,61.25,False
2020-12-20,78.0,66.0,False
2020-12-27,79.0,71.0,False
2021-01-03,66.0,71.75,False
2021-01-10,61.0,71.0,False
2021-01-17,63.0,67.25,False
2021-01-24,61.0,62.75,False
2021-01-31,57.0,60.5,False
2021-02-07,59.0,60.0,False
2021-02-14,62.0,59.75,False
2021-02-21,61.0,59.75,False
2021-02-28,59.0,60.25,False
2021-03-07,57.0,59.75,True
2021-03-14,58.0,58.75,True
2021-03-21,60.0,58.5,False
2021-03-28,63.0,59.5,False
2021-04-04,64.0,61.25,False
2021-04-11,60.0,61.75,False
2021-04-18,63.0,62.5,False
2021-04-25,62.0,62.25,False
2021-05-02,65.0,62.5,False
2021-05-09,66.0,64.0,False
2021-05-16,64.0,64.25,False
2021-05-23,65.0,65.0,False
2021-05-30,69.0,66.0,False
2021-06-06,73.0,67.75,False
2021-06-13,76.0,70.75,False
2021-06-20,72.0,72.5,False
2021-06-27,70.0,72.75,False
2021-07-04,69.0,71.75,False
2021-07-11,71.0,70.5,False
2021-07-18,74.0,71.0,False
2021-07-25,73.0,71.75,False
2021-08-01,73.0,72.75,False
2021-08-08,74.0,73.5,False
2021-08-15,80.0,75.0,False
2021-08-22,71.0,74.5,False
2021-08-29,71.0,74.0,False
2021-09-05,73.0,73.75,False
2021-09-12,69.0,71.0,False
2021-09-19,68.0,70.25,False
2021-09-26,68.0,69.5,False
2021-10-03,66.0,67.75,True
2021-10-10,65.0,66.75,True
2021-10-17,66.0,66.25,False
2021-10-24,65.0,65.5,False
2021-10-31,63.0,64.75,False
2021-11-07,73.0,66.75,False
2021-11-14,74.0,68.75,False
2021-11-21,74.0,71.0,False
2021-11-28,79.0,75.0,False
2021-12-05,79.0,76.5,False
2021-12-12,82.0,78.5,False
2021-12-19,93.0,83.25,False
2021-12-26,100.0,88.5,False
2022-01-02,86.0,90.25,False
2022-01-09,77.0,89.0,False
2022-01-16,68.0,82.75,False
2022-01-23,75.0,76.5,False
2022-01-30,78.0,74.5,False
2022-02-06,75.0,74.0,False
2022-02-13,76.0,76.0,False
2022-02-20,73.0,75.5,False
2022-02-27,75.0,74.75,False
2022-03-06,73.0,74.25,True
2022-03-13,74.0,73.75,True
2022-03-20,72.0,73.5,False
2022-03-27,71.0,72.5,False
2022-04-03,69.0,71.5,False
2022-04-10,72.0,71.0,False
2022-04-17,74.0,71.5,False
2022-04-24,76.0,72.75,False
2022-05-01,75.0,74.25,False
2022-05-08,76.0,75.25,False
2022-05-15,74.0,75.25,False
2022-05-22,85.0,77.5,False
2022-05-29,76.0,77.75,False
2022-06-05,84.0,79.75,False
2022-06-12,81.0,81.5,False
2022-06-19,79.0,80.0,False
2022-06-26,82.0,81.5,False
2022-07-03,84.0,81.5,False
2022-07-10,80.0,81.25,False
2022-07-17,83.0,82.25,False
2022-07-24,82.0,82.25,False
2022-07-31,83.0,82.0,False
2022-08-07,82.0,82.5,False
2022-08-14,83.0,82.5,False
2022-08-21,80.0,82.0,False
2022-08-28,79.0,81.0,False
2022-09-04,71.0,78.25,False
2022-09-11,70.0,75.0,False
2022-09-18,69.0,72.25,False
2022-09-25,67.0,69.25,False
2022-10-02,67.0,68.25,True
2022-10-09,68.0,67.75,True
2022-10-16,64.0,66.5,False
2022-10-23,63.0,65.5,False
2022-10-30,67.0,65.5,False
2022-11-06,67.0,65.25,False
2022-11-13,69.0,66.5,False
2022-11-20,66.0,67.25,False
2022-11-27,68.0,67.5,False
2022-12-04,70.0,68.25,False
2022-12-11,69.0,68.25,False
2022-12-18,80.0,71.75,False
2022-12-25,86.0,76.25,False
2023-01-01,76.0,77.75,False
2023-01-08,67.0,77.25,False
2023-01-15,69.0,74.5,False
2023-01-22,65.0,69.25,False
2023-01-29,63.0,66.0,False
2023-02-05,62.0,64.75,False
2023-02-12,61.0,62.75,False
2023-02-19,63.0,62.25,False
2023-02-26,62.0,62.0,False
2023-03-05,62.0,62.0,True
2023-03-12,60.0,61.75,True
2023-03-19,61.0,61.25,False
2023-03-26,64.0,61.75,False
2023-04-02,69.0,63.5,False
2023-04-09,64.0,64.5,False
2023-04-16,64.0,65.25,False
2023-04-23,64.0,65.25,False
2023-04-30,68.0,65.0,False
2023-05-07,67.0,65.75,False
2023-05-14,65.0,66.0,False
2023-05-21,67.0,66.75,False
2023-05-28,71.0,67.5,False
2023-06-04,71.0,68.5,False
2023-06-11,72.0,70.25,False
2023-06-18,71.0,71.25,False
2023-06-25,73.0,71.75,False
2023-07-02,76.0,73.0,False
2023-07-09,70.0,72.5,False
2023-07-16,71.0,72.5,False
2023-07-23,70.0,71.75,False
2023-07-30,70.0,70.25,False
2023-08-06,68.0,69.75,False
2023-08-13,68.0,69.0,False
2023-08-20,64.0,67.5,False
2023-08-27,65.0,66.25,False
2023-09-03,61.0,64.5,False
2023-09-10,61.0,62.75,False
2023-09-17,59.0,61.5,False
2023-09-24,62.0,60.75,False
2023-10-01,59.0,60.25,False
2023-10-08,58.0,59.5,False
2023-10-15,59.0,59.5,False
2023-10-22,59.0,58.75,False
2023-10-29,57.0,58.25,False
2023-11-05,71.0,61.5,False
2023-11-12,68.0,63.75,False
2023-11-19,72.0,67.0,False
2023-11-26,67.0,69.5,False
2023-12-03,72.0,69.75,False
2023-12-10,83.0,73.5,False
2023-12-17,82.0,76.0,False
2023-12-24,96.0,83.25,False
2023-12-31,74.0,83.75,False
