Date,Search,Interest_MA4,is_fashion_week
2020-01-19,42.0,45.75,False
2020-01-26,41.0,43.0,False
2020-02-02,40.0,41.75,False
2020-02-09,44.0,41.75,False
2020-02-16,42.0,41.75,False
2020-02-23,39.0,41.25,True
2020-03-01,40.0,41.25,True
2020-03-08,34.0,38.75,False
2020-03-15,29.0,35.5,False
2020-03-22,27.0,32.5,False
2020-03-29,29.0,29.75,False
2020-04-05,31.0,29.0,False
2020-04-12,32.0,29.75,False
2020-04-19,32.0,31.0,False
2020-04-26,35.0,32.5,False
2020-05-03,34.0,33.25,False
2020-05-10,35.0,34.0,False
2020-05-17,38.0,35.5,False
2020-05-24,37.0,36.0,False
2020-05-31,38.0,37.0,False
2020-06-07,39.0,38.0,False
2020-06-14,41.0,38.75,False
2020-06-21,40.0,39.5,False
2020-06-28,40.0,40.0,False
2020-07-05,40.0,40.25,False
2020-07-12,41.0,40.25,False
2020-07-19,42.0,40.75,False
2020-07-26,40.0,40.75,False
2020-08-02,39.0,40.5,False
2020-08-09,39.0,40.0,False
2020-08-16,40.0,39.5,False
2020-08-23,36.0,38.5,False
2020-08-30,46.0,40.25,False
2020-09-06,40.0,40.5,False
2020-09-13,39.0,40.25,False
2020-09-20,38.0,40.75,False
2020-09-27,38.0,38.75,True
2020-10-04,39.0,38.5,True
2020-10-11,37.0,38.0,False
2020-10-18,37.0,37.75,False
2020-10-25,37.0,37.5,False
2020-11-01,34.0,36.25,False
2020-11-08,38.0,36.5,False
2020-11-15,60.0,42.25,False
2020-11-22,49.0,45.25,False
2020-11-29,45.0,48.0,False
2020-12-06,46.0,50.0,False
2020-12-13,46.0,46.5,False
2020-12-20,56.0,48.25,False
2020-12-27,48.0,49.0,False
2021-01-03,42.0,48.0,False
2021-01-10,42.0,47.0,False
2021-01-17,41.0,43.25,False
2021-01-24,40.0,41.25,False
2021-01-31,38.0,40.25,False
2021-02-07,37.0,39.0,False
2021-02-14,36.0,37.75,False
2021-02-21,36.0,36.75,False
2021-02-28,38.0,36.75,True
2021-03-07,40.0,37.5,True
2021-03-14,41.0,38.75,False
2021-03-21,38.0,39.25,False
2021-03-28,39.0,39.5,False
2021-04-04,38.0,39.0,False
2021-04-11,42.0,39.25,False
2021-04-18,37.0,39.0,False
2021-04-25,37.0,38.5,False
2021-05-02,37.0,38.25,False
2021-05-09,36.0,36.75,False
2021-05-16,35.0,36.25,False
2021-05-23,35.0,35.75,False
2021-05-30,35.0,35.25,False
2021-06-06,35.0,35.0,False
2021-06-13,36.0,35.25,False
2021-06-20,35.0,35.25,False
2021-06-27,35.0,35.25,False
2021-07-04,34.0,35.0,False
2021-07-11,34.0,34.5,False
2021-07-18,36.0,34.75,False
2021-07-25,45.0,37.25,False
2021-08-01,41.0,39.0,False
2021-08-08,38.0,40.0,False
2021-08-15,36.0,40.0,False
2021-08-22,36.0,37.75,False
2021-08-29,36.0,36.5,False
2021-09-05,36.0,36.0,False
2021-09-12,37.0,36.25,False
2021-09-19,35.0,36.0,False
2021-09-26,37.0,36.25,True
2021-10-03,36.0,36.25,True
2021-10-10,36.0,36.0,False
2021-10-17,35.0,36.0,False
2021-10-24,41.0,37.0,False
2021-10-31,46.0,39.5,False
2021-11-07,52.0,43.5,False
2021-11-14,64.0,50.75,False
2021-11-21,97.0,64.75,False
2021-11-28,100.0,78.25,False
2021-12-05,81.0,85.5,False
2021-12-12,69.0,86.75,False
2021-12-19,73.0,80.75,False
2021-12-26,70.0,73.25,False
2022-01-02,59.0,67.75,False
2022-01-09,49.0,62.75,False
2022-01-16,43.0,55.25,False
2022-01-23,44.0,48.75,False
2022-01-30,58.0,48.5,False
2022-02-06,58.0,50.75,False
2022-02-13,51.0,52.75,False
2022-02-20,50.0,54.25,False
2022-02-27,50.0,52.25,True
2022-03-06,44.0,48.75,True
2022-03-13,46.0,47.5,False
2022-03-20,43.0,45.75,False
2022-03-27,42.0,43.75,False
2022-04-03,39.0,42.5,False
2022-04-10,41.0,41.25,False
2022-04-17,40.0,40.5,False
2022-04-24,41.0,40.25,False
2022-05-01,41.0,40.75,False
2022-05-08,41.0,40.75,False
2022-05-15,38.0,40.25,False
2022-05-22,38.0,39.5,False
2022-05-29,38.0,38.75,False
2022-06-05,39.0,38.25,False
2022-06-12,38.0,38.25,False
2022-06-19,39.0,38.5,False
2022-06-26,38.0,38.5,False
2022-07-03,43.0,39.5,False
2022-07-10,41.0,40.25,False
2022-07-17,46.0,42.0,False
2022-07-24,42.0,43.0,False
2022-07-31,42.0,42.75,False
