Date,Search,Interest_MA4,is_fashion_week
2020-01-19,60.0,65.0,False
2020-01-26,57.0,62.5,False
2020-02-02,62.0,61.0,False
2020-02-09,64.0,60.75,False
2020-02-16,57.0,60.0,False
2020-02-23,56.0,59.75,False
2020-03-01,62.0,59.75,True
2020-03-08,60.0,58.75,True
2020-03-15,51.0,57.25,False
2020-03-22,52.0,56.25,False
2020-03-29,62.0,56.25,False
2020-04-05,64.0,57.25,False
2020-04-12,69.0,61.75,False
2020-04-19,68.0,65.75,False
2020-04-26,71.0,68.0,False
2020-05-03,75.0,70.75,False
2020-05-10,74.0,72.0,False
2020-05-17,72.0,73.0,False
2020-05-24,74.0,73.75,False
2020-05-31,77.0,74.25,False
2020-06-07,78.0,75.25,False
2020-06-14,71.0,75.0,False
2020-06-21,73.0,74.75,False
2020-06-28,72.0,73.5,False
2020-07-05,69.0,71.25,False
2020-07-12,70.0,71.0,False
2020-07-19,66.0,69.25,False
2020-07-26,65.0,67.5,False
2020-08-02,64.0,66.25,False
2020-08-09,68.0,65.75,False
2020-08-16,64.0,65.25,False
2020-08-23,60.0,64.0,False
2020-08-30,59.0,62.75,False
2020-09-06,66.0,62.25,False
2020-09-13,62.0,61.75,False
2020-09-20,63.0,62.5,False
2020-09-27,62.0,63.25,False
2020-10-04,72.0,64.75,True
2020-10-11,65.0,65.5,True
2020-10-18,66.0,66.25,False
2020-10-25,74.0,69.25,False
2020-11-01,65.0,67.5,False
2020-11-08,72.0,69.25,False
2020-11-15,75.0,71.5,False
2020-11-22,76.0,72.0,False
2020-11-29,87.0,77.5,False
2020-12-06,93.0,82.75,False
2020-12-13,100.0,89.0,False
2020-12-20,81.0,90.25,False
2020-12-27,76.0,87.5,False
2021-01-03,77.0,83.5,False
2021-01-10,77.0,77.75,False
2021-01-17,73.0,75.75,False
2021-01-24,70.0,74.25,False
2021-01-31,73.0,73.25,False
2021-02-07,74.0,72.5,False
2021-02-14,79.0,74.0,False
2021-02-21,67.0,73.25,False
2021-02-28,73.0,73.25,False
2021-03-07,74.0,73.25,True
2021-03-14,70.0,71.0,True
2021-03-21,65.0,70.5,False
2021-03-28,68.0,69.25,False
2021-04-04,71.0,68.5,False
2021-04-11,72.0,69.0,False
2021-04-18,72.0,70.75,False
2021-04-25,66.0,70.25,False
2021-05-02,74.0,71.0,False
2021-05-09,69.0,70.25,False
2021-05-16,72.0,70.25,False
2021-05-23,66.0,70.25,False
2021-05-30,78.0,71.25,False
2021-06-06,68.0,71.0,False
2021-06-13,65.0,69.25,False
2021-06-20,69.0,70.0,False
2021-06-27,69.0,67.75,False
2021-07-04,65.0,67.0,False
2021-07-11,64.0,66.75,False
