Date,Search,Interest_MA4,is_fashion_week
2020-01-19,42.0,46.25,False
2020-01-26,39.0,42.5,False
2020-02-02,39.0,40.5,False
2020-02-09,37.0,39.25,True
2020-02-16,38.0,38.25,True
2020-02-23,36.0,37.5,False
2020-03-01,35.0,36.5,False
2020-03-08,30.0,34.75,False
2020-03-15,25.0,31.5,False
2020-03-22,25.0,28.75,False
2020-03-29,25.0,26.25,False
2020-04-05,30.0,26.25,False
2020-04-12,32.0,28.0,False
2020-04-19,33.0,30.0,False
2020-04-26,35.0,32.5,False
2020-05-03,35.0,33.75,False
2020-05-10,38.0,35.25,False
2020-05-17,41.0,37.25,False
2020-05-24,40.0,38.5,False
2020-05-31,41.0,40.0,False
2020-06-07,41.0,40.75,False
2020-06-14,40.0,40.5,False
2020-06-21,42.0,41.0,False
2020-06-28,43.0,41.5,False
2020-07-05,40.0,41.25,False
2020-07-12,43.0,42.0,False
2020-07-19,41.0,41.75,False
2020-07-26,40.0,41.0,False
2020-08-02,41.0,41.25,False
2020-08-09,37.0,39.75,False
2020-08-16,39.0,39.25,False
2020-08-23,39.0,39.0,False
2020-08-30,40.0,38.75,False
2020-09-06,41.0,39.75,False
2020-09-13,37.0,39.25,True
2020-09-20,39.0,39.25,True
2020-09-27,40.0,39.25,False
2020-10-04,42.0,39.5,False
2020-10-11,40.0,40.25,False
2020-10-18,40.0,40.5,False
2020-10-25,40.0,40.5,False
2020-11-01,37.0,39.25,False
2020-11-08,46.0,40.75,False
2020-11-15,48.0,42.75,False
2020-11-22,71.0,50.5,False
2020-11-29,63.0,57.0,False
2020-12-06,60.0,60.5,False
2020-12-13,60.0,63.5,False
2020-12-20,55.0,59.5,False
2020-12-27,48.0,55.75,False
2021-01-03,42.0,51.25,False
2021-01-10,43.0,47.0,False
2021-01-17,41.0,43.5,False
2021-01-24,38.0,41.0,False
2021-01-31,37.0,39.75,False
2021-02-07,35.0,37.75,False
2021-02-14,35.0,36.25,True
2021-02-21,35.0,35.5,True
2021-02-28,36.0,35.25,False
2021-03-07,34.0,35.0,False
2021-03-14,36.0,35.25,False
2021-03-21,38.0,36.0,False
2021-03-28,40.0,37.0,False
2021-04-04,39.0,38.25,False
2021-04-11,39.0,39.0,False
2021-04-18,38.0,39.0,False
2021-04-25,37.0,38.25,False
2021-05-02,38.0,38.0,False
2021-05-09,39.0,38.0,False
2021-05-16,40.0,38.5,False
2021-05-23,39.0,39.0,False
2021-05-30,43.0,40.25,False
2021-06-06,40.0,40.5,False
2021-06-13,43.0,41.25,False
2021-06-20,42.0,42.0,False
2021-06-27,43.0,42.0,False
2021-07-04,43.0,42.75,False
2021-07-11,43.0,42.75,False
2021-07-18,47.0,44.0,False
2021-07-25,44.0,44.25,False
2021-08-01,43.0,44.25,False
2021-08-08,42.0,44.0,False
2021-08-15,41.0,42.5,False
2021-08-22,42.0,42.0,False
2021-08-29,40.0,41.25,False
2021-09-05,42.0,41.25,False
2021-09-12,42.0,41.5,True
2021-09-19,44.0,42.0,True
2021-09-26,44.0,43.0,False
2021-10-03,44.0,43.5,False
2021-10-10,45.0,44.25,False
2021-10-17,44.0,44.25,False
2021-10-24,45.0,44.5,False
2021-10-31,49.0,45.75,False
2021-11-07,53.0,47.75,False
2021-11-14,55.0,50.5,False
2021-11-21,82.0,59.75,False
2021-11-28,73.0,65.75,False
2021-12-05,69.0,69.75,False
2021-12-12,70.0,73.5,False
2021-12-19,68.0,70.0,False
2021-12-26,62.0,67.25,False
2022-01-02,50.0,62.5,False
2022-01-09,48.0,57.0,False
2022-01-16,43.0,50.75,False
2022-01-23,44.0,46.25,False
2022-01-30,44.0,44.75,False
2022-02-06,43.0,43.5,False
2022-02-13,40.0,42.75,True
2022-02-20,38.0,41.25,True
2022-02-27,39.0,40.0,False
2022-03-06,39.0,39.0,False
2022-03-13,42.0,39.5,False
2022-03-20,43.0,40.75,False
2022-03-27,44.0,42.0,False
2022-04-03,41.0,42.5,False
2022-04-10,43.0,42.75,False
2022-04-17,45.0,43.25,False
2022-04-24,43.0,43.0,False
2022-05-01,44.0,43.75,False
2022-05-08,44.0,44.0,False
2022-05-15,41.0,43.0,False
2022-05-22,42.0,42.75,False
2022-05-29,44.0,42.75,False
2022-06-05,45.0,43.0,False
2022-06-12,47.0,44.5,False
2022-06-19,45.0,45.25,False
2022-06-26,45.0,45.5,False
2022-07-03,46.0,45.75,False
2022-07-10,44.0,45.0,False
2022-07-17,40.0,43.75,False
2022-07-24,41.0,42.75,False
2022-07-31,45.0,42.5,False
2022-08-07,42.0,42.0,False
2022-08-14,44.0,43.0,False
2022-08-21,45.0,44.0,False
2022-08-28,44.0,43.75,False
2022-09-04,43.0,44.0,False
2022-09-11,45.0,44.25,True
2022-09-18,45.0,44.25,True
2022-09-25,48.0,45.25,False
2022-10-02,45.0,45.75,False
2022-10-09,48.0,46.5,False
2022-10-16,47.0,47.0,False
2022-10-23,45.0,46.25,False
2022-10-30,48.0,47.0,False
2022-11-06,52.0,48.0,False
2022-11-13,59.0,51.0,False
2022-11-20,81.0,60.0,False
2022-11-27,69.0,65.25,False
2022-12-04,64.0,68.25,False
2022-12-11,68.0,70.5,False
2022-12-18,64.0,66.25,False
2022-12-25,68.0,66.0,False
2023-01-01,53.0,63.25,False
2023-01-08,48.0,58.25,False
2023-01-15,46.0,53.75,False
2023-01-22,45.0,48.0,False
2023-01-29,46.0,46.25,False
2023-02-05,43.0,45.0,False
2023-02-12,39.0,43.25,True
2023-02-19,42.0,42.5,True
2023-02-26,41.0,41.25,False
2023-03-05,41.0,40.75,False
2023-03-12,40.0,41.0,False
2023-03-19,41.0,40.75,False
2023-03-26,44.0,41.5,False
2023-04-02,44.0,42.25,False
2023-04-09,45.0,43.5,False
2023-04-16,44.0,44.25,False
2023-04-23,45.0,44.5,False
2023-04-30,44.0,44.5,False
2023-05-07,43.0,44.0,False
2023-05-14,43.0,43.75,False
2023-05-21,42.0,43.0,False
2023-05-28,46.0,43.5,False
2023-06-04,44.0,43.75,False
2023-06-11,48.0,45.0,False
2023-06-18,48.0,46.5,False
2023-06-25,49.0,47.25,False
2023-07-02,51.0,49.0,False
2023-07-09,50.0,49.5,False
2023-07-16,51.0,50.25,False
2023-07-23,49.0,50.25,False
2023-07-30,51.0,50.25,False
2023-08-06,50.0,50.25,False
2023-08-13,47.0,49.25,False
2023-08-20,49.0,49.25,False
2023-08-27,54.0,50.0,False
2023-09-03,47.0,49.25,False
2023-09-10,50.0,50.0,False
2023-09-17,52.0,50.75,False
2023-09-24,55.0,51.0,False
2023-10-01,53.0,52.5,False
2023-10-08,54.0,53.5,False
2023-10-15,59.0,55.25,False
2023-10-22,58.0,56.0,False
2023-10-29,59.0,57.5,False
2023-11-05,62.0,59.5,False
2023-11-12,70.0,62.25,False
2023-11-19,100.0,72.75,False
2023-11-26,88.0,80.0,False
2023-12-03,81.0,84.75,False
2023-12-10,85.0,88.5,False
2023-12-17,77.0,82.75,False
2023-12-24,91.0,83.5,False
2023-12-31,70.0,80.75,False
