Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2020-02-02,1991.34,2048.27,1915.44,1950.4,10903144,-0.0696,0.0671,63.0,63.5,False,
2020-02-09,1963.88,2072.23,1918.44,2012.31,11057978,0.0317,0.0737,66.0,62.5,False,63.0
2020-02-16,1994.84,2040.28,1925.24,1995.84,5929939,-0.0082,0.059,67.0,63.5,True,66.0
2020-02-23,2008.32,2020.3,1841.54,1868.01,9643492,-0.064,0.0482,60.0,64.0,True,67.0
2020-03-01,1803.59,1804.59,1578.89,1646.8,15130969,-0.1184,0.0655,57.0,62.5,False,60.0
2020-03-08,1716.71,1734.19,1567.91,1595.87,13764175,-0.0309,0.0479,48.0,58.0,False,57.0
2020-03-15,1498.0,1586.38,1291.28,1384.65,14136344,-0.1324,0.0473,38.0,50.75,False,48.0
2020-03-22,1274.3,1301.26,1015.64,1157.46,18373408,-0.1641,0.057,36.0,44.75,False,38.0
2020-03-29,1080.06,1450.56,1069.57,1323.73,14969021,0.1437,0.1386,39.0,40.25,False,36.0
2020-04-05,1309.25,1374.67,1207.39,1248.33,9258965,-0.057,0.1383,39.0,38.0,False,39.0
2020-04-12,1280.29,1496.5,1280.29,1461.55,7607207,0.1708,0.1611,41.0,38.75,False,39.0
2020-04-19,1470.04,1492.01,1376.16,1469.54,8576656,0.0055,0.1093,40.0,39.75,False,41.0
2020-04-26,1480.02,1493.01,1258.32,1289.28,9476297,-0.1227,0.1258,44.0,41.0,False,40.0
2020-05-03,1311.75,1484.52,1305.76,1374.67,8607396,0.0662,0.1225,48.0,43.25,False,44.0
2020-05-10,1371.67,1406.73,1315.24,1383.15,5402572,0.0062,0.0796,50.0,45.5,False,48.0
2020-05-17,1392.64,1417.61,1254.33,1317.24,7950328,-0.0477,0.0803,51.0,48.25,False,50.0
2020-05-24,1336.22,1453.06,1336.22,1418.11,9459422,0.0766,0.0577,53.0,50.5,False,51.0
2020-05-31,1456.06,1597.37,1434.09,1493.51,10219531,0.0532,0.055,54.0,52.0,False,53.0
2020-06-07,1517.97,1729.69,1451.06,1718.71,7733051,0.1508,0.082,54.0,53.0,False,54.0
2020-06-14,1702.73,1714.71,1514.48,1591.88,6839576,-0.0738,0.0934,55.0,54.0,False,54.0
2020-06-21,1522.04,1677.53,1525.46,1562.41,5506213,-0.0185,0.097,59.0,55.5,False,55.0
2020-06-28,1538.95,1582.89,1470.54,1532.45,5709881,-0.0192,0.0975,62.0,57.5,False,59.0
2020-07-05,1527.46,1687.25,1527.46,1632.82,6766596,0.0655,0.0575,56.0,58.0,False,62.0
2020-07-12,1654.29,1676.26,1537.95,1547.93,8482533,-0.052,0.0502,57.0,58.5,False,56.0
2020-07-19,1578.39,1595.87,1406.12,1461.05,10635908,-0.0561,0.0564,60.0,58.75,False,57.0
2020-07-26,1453.56,1469.04,1295.27,1306.76,12010072,-0.1056,0.0726,61.0,58.5,False,60.0
2020-08-02,1314.25,1324.68,1229.86,1250.83,13031007,-0.0428,0.0282,60.0,59.5,False,61.0
2020-08-09,1255.82,1326.23,1238.85,1318.24,16550324,0.0539,0.0667,59.0,60.0,False,60.0
2020-08-16,1337.71,1447.57,1324.23,1397.63,5915886,0.0602,0.08,62.0,60.5,False,59.0
2020-08-23,1417.61,1437.08,1383.15,1402.63,4615244,0.0036,0.0482,60.0,60.25,False,62.0
2020-08-30,1413.61,1469.54,1386.54,1442.57,5222469,0.0285,0.0259,61.0,60.5,False,60.0
