Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2020-02-02,663.6,664.56,641.45,646.03,470984,-0.0484,0.0446,62.0,61.0,False,
2020-02-09,646.22,677.73,641.07,663.98,355092,0.0278,0.0458,64.0,60.75,False,62.0
2020-02-16,660.74,679.64,654.63,673.15,276175,0.0138,0.0343,57.0,60.0,False,64.0
2020-02-23,674.87,685.56,660.93,663.22,270046,-0.0148,0.0337,56.0,59.75,False,57.0
2020-03-01,649.28,649.85,587.22,601.54,743757,-0.093,0.054,62.0,59.75,True,56.0
2020-03-08,612.04,633.21,592.37,606.79,571383,0.0087,0.0494,60.0,58.75,True,62.0
2020-03-15,574.25,597.6,525.25,548.22,851784,-0.0965,0.0538,51.0,57.25,False,60.0
2020-03-22,515.49,595.5,493.86,580.18,826406,0.0583,0.0768,52.0,56.25,False,51.0
2020-03-29,556.26,642.78,544.77,617.32,547963,0.064,0.0744,62.0,56.25,False,52.0
2020-04-05,614.83,630.72,566.59,578.84,397067,-0.0623,0.0824,64.0,57.25,False,62.0
2020-04-12,597.22,617.32,578.84,614.26,255213,0.0612,0.0618,69.0,61.75,False,64.0
2020-04-19,619.62,662.69,616.36,655.41,269620,0.067,0.0632,68.0,65.75,False,69.0
2020-04-26,655.6,670.92,640.48,645.46,231401,-0.0152,0.0625,71.0,68.0,False,68.0
2020-05-03,656.56,661.8,640.84,642.0,203524,-0.0054,0.0432,75.0,70.75,False,71.0
2020-05-10,628.73,663.15,621.23,653.53,249219,0.018,0.0367,74.0,72.0,False,75.0
2020-05-17,652.76,655.84,631.81,639.5,251995,-0.0215,0.0173,72.0,73.0,False,74.0
2020-05-24,646.03,674.88,646.03,670.84,340655,0.049,0.0306,74.0,73.75,False,72.0
2020-05-31,672.95,722.56,666.22,718.91,379900,0.0717,0.0404,77.0,74.25,False,74.0
2020-06-07,725.06,757.74,709.68,755.82,372016,0.0513,0.0407,78.0,75.25,False,77.0
2020-06-14,748.71,749.86,709.48,709.87,348974,-0.0608,0.0599,71.0,75.0,False,78.0
2020-06-21,693.33,731.98,688.14,710.64,393579,0.0011,0.0591,73.0,74.75,False,71.0
2020-06-28,706.22,725.25,691.41,709.29,287704,-0.0019,0.0458,72.0,73.5,False,73.0
2020-07-05,705.83,737.17,702.37,721.6,260579,0.0174,0.0342,69.0,71.25,False,72.0
2020-07-12,735.06,749.86,730.06,740.25,257872,0.0258,0.0132,70.0,71.0,False,69.0
2020-07-19,748.9,748.9,715.44,721.79,307155,-0.0249,0.0225,66.0,69.25,False,70.0
2020-07-26,718.14,735.44,707.95,712.95,245523,-0.0122,0.024,65.0,67.5,False,66.0
2020-08-02,714.87,724.29,659.69,659.69,355881,-0.0747,0.0415,64.0,66.25,False,65.0
2020-08-09,653.92,671.22,652.76,666.03,263086,0.0096,0.0357,68.0,65.75,False,64.0
2020-08-16,666.42,685.26,655.46,674.88,258390,0.0133,0.0407,64.0,65.25,False,68.0
2020-08-23,674.68,679.68,660.84,671.99,233165,-0.0043,0.0412,60.0,64.0,False,64.0
2020-08-30,677.76,701.41,675.64,691.99,188116,0.0298,0.014,59.0,62.75,False,60.0
2020-09-06,693.91,726.79,688.53,709.68,263806,0.0256,0.0153,66.0,62.25,False,59.0
2020-09-13,712.18,718.14,694.87,714.48,190157,0.0068,0.016,62.0,61.75,False,66.0
