Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2020-02-02,28.13,28.13,27.11,27.57,3234445,-0.0493,0.0749,47.0,47.25,False,
2020-02-09,26.79,27.53,25.87,26.33,4693164,-0.045,0.0667,49.0,47.25,False,47.0
2020-02-16,25.92,27.44,24.86,26.79,2320785,0.0175,0.0671,50.0,47.75,False,49.0
2020-02-23,27.16,27.16,25.36,26.24,2922905,-0.0205,0.0306,46.0,48.0,True,50.0
2020-03-01,26.24,27.16,23.29,23.29,5646669,-0.1124,0.0546,47.0,48.0,True,46.0
2020-03-08,23.66,24.54,22.83,23.29,8593445,0.0,0.0578,41.0,46.0,False,47.0
2020-03-15,22.23,22.23,17.11,18.38,11322195,-0.2108,0.0965,37.0,42.75,False,41.0
2020-03-22,18.41,21.18,16.92,20.25,14128460,0.1017,0.1356,35.0,40.0,False,37.0
2020-03-29,19.47,21.82,17.92,21.18,9714279,0.0459,0.1365,36.0,37.25,False,35.0
2020-04-05,20.85,22.05,19.89,20.76,5320269,-0.0198,0.1361,37.0,36.25,False,36.0
2020-04-12,20.85,25.04,20.71,24.4,3411906,0.1753,0.0829,38.0,36.5,False,37.0
2020-04-19,24.81,26.24,23.15,24.12,4754574,-0.0115,0.0901,38.0,37.25,False,38.0
2020-04-26,25.32,25.41,22.33,22.88,4546625,-0.0514,0.1029,43.0,39.0,False,38.0
2020-05-03,22.6,23.85,21.96,23.11,1503203,0.0101,0.0998,42.0,40.25,False,43.0
2020-05-10,22.42,24.21,22.0,23.43,2774311,0.0138,0.0299,41.0,41.0,False,42.0
2020-05-17,23.06,23.89,21.77,22.33,2896904,-0.0469,0.0354,46.0,43.0,False,41.0
2020-05-24,21.96,24.72,21.96,23.52,3429216,0.0533,0.0412,44.0,43.25,False,46.0
2020-05-31,23.06,27.57,22.33,26.28,3948083,0.1173,0.069,42.0,43.25,False,44.0
2020-06-07,26.24,27.8,26.19,27.16,12443089,0.0335,0.0677,43.0,43.75,False,42.0
2020-06-14,27.16,28.54,24.9,25.82,5626910,-0.0493,0.0687,45.0,43.5,False,43.0
