date,Burberry
2019-12-29,88
2020-01-05,68
2020-01-12,70
2020-01-19,63
2020-01-26,58
2020-02-02,63
2020-02-09,66
2020-02-16,67
2020-02-23,60
2020-03-01,57
2020-03-08,48
2020-03-15,38
2020-03-22,36
2020-03-29,39
2020-04-05,39
2020-04-12,41
2020-04-19,40
2020-04-26,44
2020-05-03,48
2020-05-10,50
2020-05-17,51
2020-05-24,53
2020-05-31,54
2020-06-07,54
2020-06-14,55
2020-06-21,59
2020-06-28,62
2020-07-05,56
2020-07-12,57
2020-07-19,60
2020-07-26,61
2020-08-02,60
2020-08-09,59
2020-08-16,62
2020-08-23,60
2020-08-30,61
2020-09-06,61
2020-09-13,62
2020-09-20,64
2020-09-27,64
2020-10-04,65
2020-10-11,69
2020-10-18,66
2020-10-25,66
2020-11-01,61
2020-11-08,70
2020-11-15,74
2020-11-22,87
2020-11-29,83
2020-12-06,90
2020-12-13,88
2020-12-20,100
2020-12-27,88
2021-01-03,69
2021-01-10,64
2021-01-17,64
2021-01-24,60
2021-01-31,62
2021-02-07,61
2021-02-14,61
2021-02-21,55
2021-02-28,56
2021-03-07,56
2021-03-14,58
2021-03-21,59
2021-03-28,60
2021-04-04,59
2021-04-11,55
2021-04-18,58
2021-04-25,57
2021-05-02,59
2021-05-09,57
2021-05-16,61
2021-05-23,57
2021-05-30,59
2021-06-06,55
2021-06-13,56
2021-06-20,54
2021-06-27,55
2021-07-04,55
2021-07-11,57
2021-07-18,55
2021-07-25,56
2021-08-01,55
2021-08-08,57
2021-08-15,59
2021-08-22,60
2021-08-29,60
2021-09-05,61
2021-09-12,62
2021-09-19,64
2021-09-26,65
2021-10-03,64
2021-10-10,68
2021-10-17,69
2021-10-24,68
2021-10-31,69
2021-11-07,77
2021-11-14,79
2021-11-21,94
2021-11-28,92
2021-12-05,85
2021-12-12,93
2021-12-19,100
2021-12-26,91
2022-01-02,74
2022-01-09,65
2022-01-16,60
2022-01-23,61
2022-01-30,63
2022-02-06,66
2022-02-13,65
2022-02-20,59
2022-02-27,61
2022-03-06,78
2022-03-13,66
2022-03-20,63
2022-03-27,61
2022-04-03,59
2022-04-10,64
2022-04-17,64
2022-04-24,65
2022-05-01,66
2022-05-08,61
2022-05-15,57
2022-05-22,58
2022-05-29,58
2022-06-05,60
2022-06-12,61
2022-06-19,59
2022-06-26,57
2022-07-03,55
2022-07-10,61
2022-07-17,58
2022-07-24,57
2022-07-31,56
2022-08-07,56
2022-08-14,58
2022-08-21,59
2022-08-28,61
2022-09-04,72
2022-09-11,64
2022-09-18,64
2022-09-25,73
2022-10-02,66
2022-10-09,68
2022-10-16,67
2022-10-23,67
2022-10-30,69
2022-11-06,72
2022-11-13,75
2022-11-20,84
2022-11-27,78
2022-12-04,82
2022-12-11,87
2022-12-18,91
2022-12-25,95
2023-01-01,73
2023-01-08,66
2023-01-15,62
2023-01-22,64
2023-01-29,61
2023-02-05,62
2023-02-12,58
2023-02-19,65
2023-02-26,59
2023-03-05,57
2023-03-12,55
2023-03-19,57
2023-03-26,59
2023-04-02,58
2023-04-09,61
2023-04-16,59
2023-04-23,59
2023-04-30,65
2023-05-07,60
2023-05-14,60
2023-05-21,56
2023-05-28,59
2023-06-04,59
2023-06-11,61
2023-06-18,56
2023-06-25,57
2023-07-02,59
2023-07-09,55
2023-07-16,58
2023-07-23,60
2023-07-30,61
2023-08-06,61
2023-08-13,64
2023-08-20,61
2023-08-27,62
2023-09-03,59
2023-09-10,61
2023-09-17,61
2023-09-24,61
2023-10-01,60
2023-10-08,61
2023-10-15,66
2023-10-22,64
2023-10-29,67
2023-11-05,72
2023-11-12,74
2023-11-19,89
2023-11-26,84
2023-12-03,86
2023-12-10,87
2023-12-17,94
2023-12-24,94
2023-12-31,73
