date,Gucci
2019-12-29,52
2020-01-05,45
2020-01-12,44
2020-01-19,42
2020-01-26,41
2020-02-02,40
2020-02-09,44
2020-02-16,42
2020-02-23,39
2020-03-01,40
2020-03-08,34
2020-03-15,29
2020-03-22,27
2020-03-29,29
2020-04-05,31
2020-04-12,32
2020-04-19,32
2020-04-26,35
2020-05-03,34
2020-05-10,35
2020-05-17,38
2020-05-24,37
2020-05-31,38
2020-06-07,39
2020-06-14,41
2020-06-21,40
2020-06-28,40
2020-07-05,40
2020-07-12,41
2020-07-19,42
2020-07-26,40
2020-08-02,39
2020-08-09,39
2020-08-16,40
2020-08-23,36
2020-08-30,46
2020-09-06,40
2020-09-13,39
2020-09-20,38
2020-09-27,38
2020-10-04,39
2020-10-11,37
2020-10-18,37
2020-10-25,37
2020-11-01,34
2020-11-08,38
2020-11-15,60
2020-11-22,49
2020-11-29,45
2020-12-06,46
2020-12-13,46
2020-12-20,56
2020-12-27,48
2021-01-03,42
2021-01-10,42
2021-01-17,41
2021-01-24,40
2021-01-31,38
2021-02-07,37
2021-02-14,36
2021-02-21,36
2021-02-28,38
2021-03-07,40
2021-03-14,41
2021-03-21,38
2021-03-28,39
2021-04-04,38
2021-04-11,42
2021-04-18,37
2021-04-25,37
2021-05-02,37
2021-05-09,36
2021-05-16,35
2021-05-23,35
2021-05-30,35
2021-06-06,35
2021-06-13,36
2021-06-20,35
2021-06-27,35
2021-07-04,34
2021-07-11,34
2021-07-18,36
2021-07-25,45
2021-08-01,41
2021-08-08,38
2021-08-15,36
2021-08-22,36
2021-08-29,36
2021-09-05,36
2021-09-12,37
2021-09-19,35
2021-09-26,37
2021-10-03,36
2021-10-10,36
2021-10-17,35
2021-10-24,41
2021-10-31,46
2021-11-07,52
2021-11-14,64
2021-11-21,97
2021-11-28,100
2021-12-05,81
2021-12-12,69
2021-12-19,73
2021-12-26,70
2022-01-02,59
2022-01-09,49
2022-01-16,43
2022-01-23,44
2022-01-30,58
2022-02-06,58
2022-02-13,51
2022-02-20,50
2022-02-27,50
2022-03-06,44
2022-03-13,46
2022-03-20,43
2022-03-27,42
2022-04-03,39
2022-04-10,41
2022-04-17,40
2022-04-24,41
2022-05-01,41
2022-05-08,41
2022-05-15,38
2022-05-22,38
2022-05-29,38
2022-06-05,39
2022-06-12,38
2022-06-19,39
2022-06-26,38
2022-07-03,43
2022-07-10,41
2022-07-17,46
2022-07-24,42
2022-07-31,42
2022-08-07,40
2022-08-14,38
2022-08-21,36
2022-08-28,36
2022-09-04,35
2022-09-11,33
2022-09-18,34
2022-09-25,33
2022-10-02,34
2022-10-09,35
2022-10-16,32
2022-10-23,33
2022-10-30,33
2022-11-06,32
2022-11-13,34
2022-11-20,39
2022-11-27,37
2022-12-04,38
2022-12-11,41
2022-12-18,41
2022-12-25,45
2023-01-01,37
2023-01-08,34
2023-01-15,35
2023-01-22,33
2023-01-29,31
2023-02-05,30
2023-02-12,32
2023-02-19,32
2023-02-26,31
2023-03-05,31
2023-03-12,29
2023-03-19,32
2023-03-26,30
2023-04-02,31
2023-04-09,32
2023-04-16,31
2023-04-23,33
2023-04-30,34
2023-05-07,31
2023-05-14,32
2023-05-21,31
2023-05-28,32
2023-06-04,31
2023-06-11,32
2023-06-18,30
2023-06-25,31
2023-07-02,30
2023-07-09,31
2023-07-16,29
2023-07-23,30
2023-07-30,29
2023-08-06,30
2023-08-13,29
2023-08-20,28
2023-08-27,29
2023-09-03,28
2023-09-10,25
2023-09-17,28
2023-09-24,28
2023-10-01,28
2023-10-08,27
2023-10-15,33
2023-10-22,28
2023-10-29,26
2023-11-05,30
2023-11-12,35
2023-11-19,34
2023-11-26,32
2023-12-03,34
2023-12-10,34
2023-12-17,39
2023-12-24,41
2023-12-31,32
