Price,Close,High,Low,Open,Volume
Ticker,BRBY.L,BRBY.L,BRBY.L,BRBY.L,BRBY.L
Date,,,,,
2020-01-02,2198.06640625,2241.009093877783,2197.067739095866,2221.0357507950935,489197
2020-01-03,2221.03564453125,2224.0316458503116,2165.110286575427,2167.107620788135,649896
2020-01-06,2185.083740234375,2217.0410892688815,2150.1303897278835,2199.0650804369716,1008106
2020-01-07,2161.11572265625,2204.0584103060737,2155.1237197283676,2202.0610759967794,1263325
2020-01-08,2173.099853515625,2177.094522363999,2072.2344650941736,2075.2304667304543,1418466
2020-01-09,2216.04248046875,2232.021155406785,2188.0797993271885,2191.0758008780704,1430250
2020-01-10,2214.04541015625,2232.0214216054214,2193.0733967988836,2228.0267523944945,851860
2020-01-13,2239.011474609375,2246.00214379861,2196.568125960446,2246.00214379861,996231
2020-01-14,2267.972900390625,2275.462903364174,2218.0395472336318,2227.027550801891,1633404
2020-01-15,2309.9169921875,2325.8956657175477,2264.6953663179693,2281.9543135099166,2576797
2020-01-16,2306.9208984375,2324.896905438312,2284.950223214286,2315.9089019379057,1186567
2020-01-17,2325.8955078125,2336.8808451186133,2299.9301650889597,2330.8888429516423,1606072
2020-01-20,2273.96533203125,2329.890698124245,2260.982657759662,2329.890698124245,969908
2020-01-21,2259.9833984375,2264.976733387649,2164.1113673946365,2237.0140576668136,2021061
2020-01-22,2147.13427734375,2280.9556695130814,2144.897272779498,2276.961001090116,2323121
2020-01-23,2091.208740234375,2137.1474231621596,2089.2114061940365,2127.160752960467,1948577
2020-01-24,2096.20263671875,2134.151993648389,2084.218629267285,2119.171984334058,2174497
2020-01-27,1995.8360595703125,2022.3007358668415,1976.8613859992163,1991.342057935053,3087825
2020-01-28,2007.321044921875,2016.3090496006296,1915.4436637612716,1996.3357058700637,2407626
2020-01-29,2021.30224609375,2048.2662582699018,1979.857560711887,2015.3102433879385,1754010
2020-01-30,2012.3140869140625,2021.3020902799317,1983.3527427351503,1997.3340813042803,2088220
2020-01-31,1950.3968505859375,2023.299549046139,1950.3968505859375,2021.30221484175,1565463
2020-02-03,1976.3623046875,1994.3383135224544,1945.005106821453,1963.8789652187816,1253850
2020-02-04,2022.301025390625,2041.2757016782407,1998.3330132378471,2006.3223506221063,1606849
2020-02-05,2031.288818359375,2072.2341681886446,1998.332805082158,2019.304813531296,4631207
2020-02-06,2014.3116455078125,2062.247668801999,2014.3116455078125,2062.247668801999,1288458
2020-02-07,2012.3140869140625,2012.3140869140625,1918.4393850927613,1918.4393850927613,2277614
2020-02-10,1993.339599609375,2005.323605218249,1985.8495961038286,1994.8376003104843,1057784
2020-02-11,1982.853515625,2024.2982000362,1976.8615130595254,2006.322192339776,1059769
2020-02-12,2038.279541015625,2040.2768752057432,1925.2404710415353,1990.3435204527882,1417803
2020-02-13,2022.301025390625,2040.2770345052083,1993.3396773726852,2016.3090223524305,1090959
2020-02-14,1995.8360595703125,2029.2914050772454,1995.8360595703125,2022.3007358668415,1303624
2020-02-17,2003.3262939453125,2015.310299691745,1995.3369567810241,2008.3196296729927,751523
2020-02-18,1975.86279296875,1995.8361343179413,1934.4181096691782,1976.8614600362096,3661239
2020-02-19,2010.31689453125,2014.3115629754254,1961.382206090102,1988.8455516438075,1500221
2020-02-20,1917.4407958984375,2020.3035052617392,1917.4407958984375,2020.3035052617392,1553300
2020-02-21,1868.0069580078125,1895.4703054257302,1841.5422777687284,1889.9776359421467,2177209
2020-02-24,1792.607421875,1804.5914269237467,1746.1694023111072,1803.592759836351,3170535
2020-02-25,1751.662109375,1804.092132603157,1745.1707731657996,1797.6007963939567,2398949
