Price,Close,High,Low,Open,Volume
Ticker,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA
Date,,,,,
2020-01-02,380.1162414550781,382.2474009456481,377.62233789018956,379.07334186306264,347226
2020-01-03,380.0709533691406,380.0709533691406,375.53658271972495,378.16651216126564,291716
2020-01-06,376.48883056640625,377.4410651120478,370.5488154377684,376.3528049672018,363953
2020-01-07,377.2596435546875,382.29278397898617,376.7155135336708,378.7106477188645,363885
2020-01-08,379.7989196777344,379.7989196777344,375.03782992981917,376.08075744365635,360741
2020-01-09,384.9681091308594,384.9681091308594,382.1114608526418,382.70092356471764,378062
2020-01-10,384.197265625,386.6004768220265,383.29039138645373,385.60293730010994,268887
2020-01-13,387.008544921875,388.1421376135032,384.24258982454324,385.0134107143682,375035
2020-01-14,390.8627624511719,391.1348136285765,384.15189921102876,387.77939584630644,513855
2020-01-15,391.2708435058594,393.3113102412404,389.0036582443249,392.313743191045,429805
2020-01-16,391.67901611328125,394.4449994147045,389.5932162323985,392.3138392121281,442227
2020-01-17,398.1631164550781,398.1631164550781,392.3591269642065,394.49028692293416,519809
2020-01-20,389.729248046875,397.437679945417,388.6409877674256,397.437679945417,345795
2020-01-21,385.376220703125,386.4191205476434,374.17631826491856,380.6151309265098,674294
2020-01-22,384.015869140625,387.4619798336794,383.74379029079273,386.69113127255855,427634
2020-01-23,373.58685302734375,382.111465320592,373.3147741508623,378.93740549088005,663493
2020-01-24,377.5317077636719,383.06364576308965,376.35278240709584,378.25722370861394,537172
2020-01-27,363.65655517578125,367.78282172661136,361.1626511190895,365.37961062528376,1193045
2020-01-28,373.6322326660156,373.6322326660156,363.5659218333386,365.0169263302701,911017
2020-01-29,369.64190673828125,381.47660325072235,366.7398984063864,373.6321474379348,1050070
2020-01-30,361.75213623046875,367.19338178221994,360.4825178035147,362.7950360927665,919787
2020-01-31,358.48736572265625,363.79258540965793,357.39913327122304,363.47517389963815,852171
2020-02-03,359.80230712890625,362.0241597932637,354.6331135743939,357.8978659416858,561461
2020-02-04,372.362548828125,372.362548828125,362.2509071208761,362.7496768563119,721603
2020-02-05,376.35284423828125,379.7082903053477,368.5083868754242,370.503493781684,851040
2020-02-06,379.11871337890625,380.9778219233194,373.67746867924143,379.3907922192505,576989
2020-02-07,375.40057373046875,378.30255446901964,370.9115355188622,375.5819319591013,557450
2020-02-10,375.037841796875,375.85405077711437,371.54639801174426,372.72532348781357,538239
2020-02-11,373.9496154785156,378.8013984192321,372.8160226267411,377.3050337144043,485463
2020-02-12,385.14947509765625,385.14947509765625,374.35765022129806,375.5366032599911,646869
2020-02-13,382.2928466796875,384.0159299747808,377.30503807424424,382.2928466796875,564012
2020-02-14,376.3075256347656,382.24754160488254,376.3075256347656,381.79410442622907,439401
2020-02-17,375.8086242675781,379.617506585819,375.4912127951245,377.03290984669854,310146
2020-02-18,370.7755126953125,372.725286640183,369.77794556577766,371.72771951064817,552569
2020-02-19,380.0256042480469,380.0256042480469,369.6419117604737,373.94956400426764,541054
2020-02-20,371.63702392578125,380.4337144481002,371.63702392578125,380.02561000121614,506684
2020-02-21,366.83062744140625,373.58685155105127,365.6517020081284,369.9593546171437,719448
2020-02-24,349.7360534667969,355.44937792049996,340.3045666808499,348.4211023927809,1626587
2020-02-25,344.657470703125,352.81933713112204,344.657470703125,351.4590260597892,1078187
2020-02-26,349.373291015625,350.9149882499852,333.77504346136305,341.8915787485805,1162703
